town,2017,2025,change_pp
BUKIT TIMAH,0.7543859649122807,0.6111111111111112,-14.327485380116956
CLEMENTI,0.7945205479452054,0.7273550724637681,-6.716547548143737
CENTRAL AREA,0.739010989010989,0.6744186046511628,-6.459238435982629
BEDOK,0.8074912891986062,0.7738193869096934,-3.3671902288912814
HOUGANG,0.7964285714285714,0.7658035034272658,-3.06250680013056
ANG MO KIO,0.7860934182590233,0.7657054582904222,-2.03879599686011
SERANGOON,0.7534883720930232,0.7338308457711443,-1.9657526321878893
BISHAN,0.7085201793721974,0.6914893617021277,-1.7030817670069642
SENGKANG,0.8116036505867015,0.8034120734908137,-0.8191577095887803
BUKIT MERAH,0.6911942098914354,0.6891747052518756,-0.20195046395597993
TAMPINES,0.8029253271747498,0.8162415408641333,1.3316213689383405
YISHUN,0.8273667462211615,0.8452730475631239,1.7906301341962472
TOA PAYOH,0.6295060080106809,0.658513640639699,2.9007632629018065
BUKIT PANJANG,0.7651296829971181,0.7969924812030075,3.186279820588933
BUKIT BATOK,0.7900815217391305,0.8236196319018405,3.353811016271002
SEMBAWANG,0.7885714285714286,0.8253568429890848,3.678541441765626
WOODLANDS,0.7978445460483344,0.8518306636155606,5.398611756722616
CHOA CHU KANG,0.7885572139303483,0.8432327166504382,5.467550272008992
KALLANG/WHAMPOA,0.6555716353111433,0.7141057934508817,5.8534158139738395
PASIR RIS,0.7436102236421726,0.8178233438485805,7.421312020640791
JURONG WEST,0.758641975308642,0.835323695788812,7.6681720480170075
GEYLANG,0.6393298059964727,0.7355242566510172,9.619445065454446
MARINE PARADE,0.5887096774193549,0.6882716049382716,9.956192751891669
JURONG EAST,0.7133479212253829,0.8163900414937759,10.304212026839298
QUEENSTOWN,0.6650853889943074,0.7743801652892562,10.929477629494889
PUNGGOL,0.7245440729483282,0.8394018205461639,11.485774759783563
